Taxon,mean_body_size,lna,b,weight,Body_mass_ln
Alona_spp.,415.587,2.2367,2.742,18.77011541,2.932265999
Alonella_excisa,424.9091,0.922,1.39,9.334106617,2.23367507
Ascomorpha_spp.,163.9649,3.232,3.118,0,0.1
Asplanchna_spp.,440.75,3.232,3.118,0,0.1
Bosmina_longirostris,355.6375,4.9344,4.849,33.41699906,3.509064724
Ceriodaphnia_laticaudata,524.1731,2.562,2.338,17.20213977,2.845033782
Chaoborus_trivitattus,5638.8655,-2.183,3.2345,25.75479377,3.248620775
Chydorus_sphaericus,375.9185,4.49,3.93,27.79243339,3.324763804
Collotheca_spp.,1403,3.232,3.118,0,0.1
Conochilus_unicornis,124.0568,3.232,3.118,0,0.05
Cyclopoida,588.8475,1.3135,2.9005,19.81337407,2.986357168
Daphnia_dentifera,808.2124,1.468,2.829,20.40765963,3.015910302
Daphnia_melanica,1374.5977,1.468,2.829,21.91011745,3.086948514
Daphnia_pulex_pulicaria,1056.1044,1.945,2.72,20.88257112,3.038914893
Diaphanosoma_brachyurum,575.0119,1.6242,3.0468,20.9847577,3.04379635
Eurycercus_lamellatus,476,2.54,2.62,18.69339478,2.928170241
Harpacticoida,354.3557,2.5265,4.4,28.35582533,3.344832488
Hesperodiaptomus_eiseni,2301.9801,1.953,2.399,20.52491834,3.021639677
Hesperodiaptomus_shoshone,1929.0397,1.953,2.399,20.10090145,3.000764662
Holopedium_gibberum,847.9084,2.417,3.04,22.91502874,3.131792972
Kellicottia_spp.,175.6755,3.232,3.118,0,0.05
Keratella_quadrata,126.0609,2.5,3,193787.6982,12.1745185
Keratella_spp.,125.383,2.5,3,190465.5955,12.15722686
Lepadella_spp.,173.0395,3.232,2.3,0,0.1
Leptodiaptomus_signicauda,828.2549,1.953,2.399,18.07265098,2.8943998
nauplii,213.3819,0.6977,0.569,3.749294522,1.321567695
Notholca_spp.,121.0909,3.232,3.118,0,0.1
Polyarthra_dolichoptera,102.3152,3.232,3.118,0,0.1
Polyarthra_vulgaris,140,3.232,3.118,0,0.1
Polyphemus_pediculus,562.5349,2.7792,2.152,16.40663924,2.797686084
Scapholeberis_mucronata,605.25,1.468,2.829,19.58956007,2.974996775
Synchaeta_spp.,148.9412,3.232,3.118,0,0.1
Trichocerca_capucina,263.78,3.232,3.118,0,0.1
Trichotria_spp.,212.4444,3.232,3.118,0,0.1